"Class","Path","RefCount"
"TicketReply","C:\xampp\htdocs\crm\app\Models\TicketReply.php","54"
"EstimateItem","C:\xampp\htdocs\crm\app\Models\EstimateItem.php","55"
"LeadPipeline","C:\xampp\htdocs\crm\app\Models\LeadPipeline.php","57"
"ProjectStatusSetting","C:\xampp\htdocs\crm\app\Models\ProjectStatusSetting.php","57"
"EstimateTemplate","C:\xampp\htdocs\crm\app\Models\EstimateTemplate.php","58"
"ProjectMember","C:\xampp\htdocs\crm\app\Models\ProjectMember.php","58"
"ProjectMilestone","C:\xampp\htdocs\crm\app\Models\ProjectMilestone.php","58"
"ProposalTemplate","C:\xampp\htdocs\crm\app\Models\ProposalTemplate.php","58"
"ProjectTimeLogBreak","C:\xampp\htdocs\crm\app\Models\ProjectTimeLogBreak.php","59"
"MentionUser","C:\xampp\htdocs\crm\app\Models\MentionUser.php","60"
"SubTask","C:\xampp\htdocs\crm\app\Models\SubTask.php","60"
"ExpenseRecurring","C:\xampp\htdocs\crm\app\Models\ExpenseRecurring.php","61"
"UniversalSearch","C:\xampp\htdocs\crm\app\Models\UniversalSearch.php","61"
"DocumentWorkflow","C:\xampp\htdocs\crm\app\Models\DocumentWorkflow.php","62"
"TaskFile","C:\xampp\htdocs\crm\app\Models\TaskFile.php","62"
"Award","C:\xampp\htdocs\crm\app\Models\Award.php","63"
"LeadAgent","C:\xampp\htdocs\crm\app\Models\LeadAgent.php","63"
"CustomFieldGroup","C:\xampp\htdocs\crm\app\Models\CustomFieldGroup.php","64"
"DashboardWidget","C:\xampp\htdocs\crm\app\Models\DashboardWidget.php","67"
"CompanyAddress","C:\xampp\htdocs\crm\app\Models\CompanyAddress.php","68"
"LeadCategory","C:\xampp\htdocs\crm\app\Models\LeadCategory.php","68"
"LeadStatus","C:\xampp\htdocs\crm\app\Models\LeadStatus.php","70"
"ClientNote","C:\xampp\htdocs\crm\app\Models\ClientNote.php","72"
"BankTransaction","C:\xampp\htdocs\crm\app\Models\BankTransaction.php","74"
"UserPermission","C:\xampp\htdocs\crm\app\Models\UserPermission.php","75"
"PermissionRole","C:\xampp\htdocs\crm\app\Models\PermissionRole.php","76"
"UserChat","C:\xampp\htdocs\crm\app\Models\UserChat.php","76"
"EmployeeShift","C:\xampp\htdocs\crm\app\Models\EmployeeShift.php","77"
"PipelineStage","C:\xampp\htdocs\crm\app\Models\PipelineStage.php","77"
"AttendanceSetting","C:\xampp\htdocs\crm\app\Models\AttendanceSetting.php","78"
"ClientDetails","C:\xampp\htdocs\crm\app\Models\ClientDetails.php","80"
"Appreciation","C:\xampp\htdocs\crm\app\Models\Appreciation.php","81"
"CustomField","C:\xampp\htdocs\crm\app\Models\CustomField.php","83"
"InvoiceSetting","C:\xampp\htdocs\crm\app\Models\InvoiceSetting.php","83"
"EmployeeShiftSchedule","C:\xampp\htdocs\crm\app\Models\EmployeeShiftSchedule.php","84"
"LeaveType","C:\xampp\htdocs\crm\app\Models\LeaveType.php","84"
"InvoiceItems","C:\xampp\htdocs\crm\app\Models\InvoiceItems.php","85"
"RecurringInvoice","C:\xampp\htdocs\crm\app\Models\RecurringInvoice.php","85"
"Discussion","C:\xampp\htdocs\crm\app\Models\Discussion.php","88"
"Notice","C:\xampp\htdocs\crm\app\Models\Notice.php","91"
"PaymentGatewayCredentials","C:\xampp\htdocs\crm\app\Models\PaymentGatewayCredentials.php","102"
"Tax","C:\xampp\htdocs\crm\app\Models\Tax.php","103"
"Session","C:\xampp\htdocs\crm\app\Models\Session.php","104"
"Module","C:\xampp\htdocs\crm\app\Models\Module.php","105"
"Designation","C:\xampp\htdocs\crm\app\Models\Designation.php","107"
"CreditNotes","C:\xampp\htdocs\crm\app\Models\CreditNotes.php","109"
"Event","C:\xampp\htdocs\crm\app\Models\Event.php","109"
"TaskboardColumn","C:\xampp\htdocs\crm\app\Models\TaskboardColumn.php","115"
"Team","C:\xampp\htdocs\crm\app\Models\Team.php","115"
"BankAccount","C:\xampp\htdocs\crm\app\Models\BankAccount.php","116"
"UnitType","C:\xampp\htdocs\crm\app\Models\UnitType.php","119"
"Proposal","C:\xampp\htdocs\crm\app\Models\Proposal.php","126"
"EmployeeDetails","C:\xampp\htdocs\crm\app\Models\EmployeeDetails.php","150"
"PermissionType","C:\xampp\htdocs\crm\app\Models\PermissionType.php","152"
"Estimate","C:\xampp\htdocs\crm\app\Models\Estimate.php","154"
"Holiday","C:\xampp\htdocs\crm\app\Models\Holiday.php","165"
"Holiday","C:\xampp\htdocs\crm\app\Models\ClientDocument.php","165"
"Holiday","C:\xampp\htdocs\crm\app\Models\LogTimeFor.php","165"
"Holiday","C:\xampp\htdocs\crm\app\Models\EmployeeDocument.php","165"
"Holiday","C:\xampp\htdocs\crm\app\Models\DealFile.php","165"
"Holiday","C:\xampp\htdocs\crm\app\Models\ProductFiles.php","165"
"ProjectTimeLog","C:\xampp\htdocs\crm\app\Models\ProjectTimeLog.php","165"
"Attendance","C:\xampp\htdocs\crm\app\Models\Attendance.php","171"
"Role","C:\xampp\htdocs\crm\app\Models\Role.php","171"
"Product","C:\xampp\htdocs\crm\app\Models\Product.php","176"
"Expense","C:\xampp\htdocs\crm\app\Models\Expense.php","178"
"Order","C:\xampp\htdocs\crm\app\Models\Order.php","179"
"GlobalSetting","C:\xampp\htdocs\crm\app\Models\GlobalSetting.php","181"
"Deal","C:\xampp\htdocs\crm\app\Models\Deal.php","194"
"Contract","C:\xampp\htdocs\crm\app\Models\Contract.php","207"
"Currency","C:\xampp\htdocs\crm\app\Models\Currency.php","213"
"EmailNotificationSetting","C:\xampp\htdocs\crm\app\Models\EmailNotificationSetting.php","219"
"Ticket","C:\xampp\htdocs\crm\app\Models\Ticket.php","224"
"Leave","C:\xampp\htdocs\crm\app\Models\Leave.php","237"
"Payment","C:\xampp\htdocs\crm\app\Models\Payment.php","267"
"BaseModel","C:\xampp\htdocs\crm\app\Models\BaseModel.php","268"
"Lead","C:\xampp\htdocs\crm\app\Models\Lead.php","322"
"Notification","C:\xampp\htdocs\crm\app\Models\Notification.php","337"
"Company","C:\xampp\htdocs\crm\app\Models\Company.php","416"
"Invoice","C:\xampp\htdocs\crm\app\Models\Invoice.php","470"
"Permission","C:\xampp\htdocs\crm\app\Models\Permission.php","502"
"Project","C:\xampp\htdocs\crm\app\Models\Project.php","513"
"Task","C:\xampp\htdocs\crm\app\Models\Task.php","755"
"User","C:\xampp\htdocs\crm\app\Models\User.php","1132"
