"Name","RefCount"
"estimates.decline","1"
"estimates.delete_image","1"
"estimates.store","1"
"estimate-template.add_item","1"
"estimate-template.create","1"
"estimate-template.delete_image","1"
"estimate-template.destroy","1"
"estimate-template.edit","1"
"estimate-template.show","1"
"estimate-template.store","1"
"estimate-template.update","1"
"events.create","1"
"events.destroy","1"
"events.edit","1"
"events.monthly_on","1"
"events.store","1"
"events.update","1"
"events.update_status","1"
"expense-report.chart","1"
"expenses.store","1"
"expenses.update","1"
"files.destroy","1"
"files.multiple_upload","1"
"files.store","1"
"finance-report.chart","1"
"finance-report.index","1"
"flutterwave.webhook","1"
"front.changeLang","1"
"front.contract.download","1"
"front.contract.sign","1"
"front.download_proposal","1"
"front.estimate.accept","1"
"front.estimate.decline","1"
"front.estimate.download","1"
"front.gantt","1"
"front.gantt_data","1"
"front.gdpr.consent","1"
"front.gdpr.consent.update","1"
"front.invoice_download","1"
"front.lead_store","1"
"front.save_stripe_detail","1"
"front.stripe_modal","1"
"front.taskboard.load_more","1"
"front.ticket_store","1"
"gdpr.add_consent","1"
"gdpr.customer.approve_reject","1"
"gdpr.edit_consent","1"
"gdpr.lead.approve_reject","1"
"gdpr.store_consent","1"
"gdpr.update_client_consent","1"
"gdpr.update_consent","1"
"gdpr_settings.purpose_delete","1"
"get.projects","1"
"get.projects-ajax","1"
"googleAuth.destroy","1"
"google-calendar-settings.store","1"
"holidays.apply_quick_action","1"
"holidays.mark_holiday_store","1"
"holidays.store","1"
"holidays.update","1"
"image.getImage","1"
"image.store","1"
"import.process.exception","1"
"import.process.progress","1"
"invoice_settings.update_prefix","1"
"invoice_settings.update_template","1"
"invoice-files.destroy","1"
"invoices.applied_credits","1"
"invoices.check_shipping_address","1"
"invoices.delete_applied_credit","1"
"invoices.delete_image","1"
"invoices.fetch_timelogs","1"
"invoices.offline_method_description","1"
"invoices.offline_payment_modal","1"
"invoices.save_stripe_detail","1"
"invoices.store_file","1"
"invoices.stripe_modal","1"
"invoices.update","1"
"invoice-settings.update","1"
"knowledgebase.create","1"
"knowledgebase.searchQuery","1"
"knowledgebase.store","1"
"knowledgebase.update","1"
"knowledgebasecategory.destroy","1"
"knowledgebasecategory.store","1"
"knowledgebasecategory.update","1"
"language_settings.auto_translate","1"
"language_settings.auto_translate_update","1"
"language_settings.create_en_locale","1"
"language_settings.fix_translation","1"
"language_settings.update_data","1"
"language-settings.create","1"
"language-settings.destroy","1"
"language-settings.edit","1"
"language-settings.store","1"
"language-settings.update","1"
"LaravelInstaller::database","1"
"LaravelInstaller::environment","1"
"LaravelInstaller::permissions","1"
"lead_agent.categories","1"
"lead_agents.update_category","1"
"lead_agents.update_status","1"
"lead-agent-settings.store","1"
"leadboards.collapse_column","1"
"leadboards.load_more","1"
"leadboards.update_index","1"
"leadCategory.destroy","1"
"leadCategory.edit","1"
"leadCategory.store","1"
"leadCategory.update","1"
"lead-contact.apply_quick_action","1"
"lead-contact.convert_to_client","1"
"lead-contact.edit","1"
"lead-contact.follow_up_delete","1"
"lead-contact.follow_up_store","1"
"lead-contact.follow_up_update","1"
"lead-contact.import","1"
"lead-contact.import.process","1"
"lead-contact.import.store","1"
"lead-contact.quick_update","1"
"lead-contact.update","1"
"lead-form.sortFields","1"
"lead-form.update","1"
"lead-notes.ask_for_password","1"
"lead-notes.check_password","1"
"lead-notes.edit","1"
"lead-notes.store","1"
"lead-notes.update","1"
"lead-pipeline-setting.create","1"
"lead-pipeline-setting.edit","1"
"lead-pipeline-setting.store","1"
"lead-pipeline-setting.update","1"
"lead-pipeline-update.stageUpdate","1"
"lead-source-settings.destroy","1"
"lead-source-settings.edit","1"
"lead-source-settings.store","1"
"lead-source-settings.update","1"
"lead-stage-setting.stageUpdate","1"
"lead-stage-setting.store","1"
